#-символ переноса строки, использовать вместо Entera;;;;;;;;;;;
Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski;Türkçe;//
специальные теги, не удалять, не изменять, при добавлении переносить вниз;consum_name;consum_name;consum_name;consum_name;consum_name;consum_name;consum_name;consum_name;consum_name;consum_name;
bandage;Бинт;Curativo;绷带;Verband;;;;;Bandaż;Bandaj;//
antivenom;Инъекция противоядия;Antídoto;解药;Gegenmittel;;;;;Antidotum;Panzehir;//
antitoxin;Антитоксин;Antitoxina;抗毒素;Antitoxin;;;;;Antytoksyna;Antitoksin;//
splint;Шина;Tala;夹板;Schiene;;;;;Stabilizator;Atel;//
leech;Пиявки;Sanguessuga;水蛭;Blutegel;;;;;Pijawki;Sülük;//
inhaler;Эфирный ингалятор;Inalador de Éter;乙醚;Äther-Inhalator;;;;;Inhalator Etheru;Eter İnhalatörü;//
sponge;Усыпляющая губка;Esponja Soporífica;致眠海绵;Schlafmittelschwamm;;;;;Gąbka Nasenna;Uyku Süngeri;//
incense;Благовония;Incenso;迷香;Räucherwerk;;;;;Kadzidło;Tütsü;//
herbal;Травяной экстракт;Extrato de Erva;药草精粹;Kräuterextrakt;;;;;Ekstrakt Ziołowy;Bitki Özü;//
aqua_vitae;Эликсир Гвиннела;Elixir de Gwynnel;葛文涅尔的灵药;Gwynnel's Elixir;;;;;Eliksir Gwynnela;Gwynnel'ın İksiri;//
stardust;Звездная пыль;Poeira Estelar;星尘;Sternenstaub;;;;;Gwiezdny Pył;Yıldıztozu;//
salve;Целебная мазь;Salva de Cura;疗伤药膏;Heilsalbe;;;;;Maść Lecznicza;İyileştirici Merhem;//
essence;Живительная эссенция;Essência Vivificante;赋活精华;Belebende Essenz;;;;;Ożywcza Esencja;Canlandırıcı Esans;//
pipe;Курительная трубка;Cachimbo;烟斗;Pfeife;;;;;Fajka;Nargile;//
;;;;;;;;;;;//
torch;Факел;Tocha;火把;Fackel;;;;;Pochodnia;Meşale;//
surgeon;Хирургический набор;Kit de Ferramentas de Cirurgião;手术工具;Chirurgisches Besteck;;;;;Zestaw Chirurgiczny;Cerrahi Set;//
lancet;Ланцет для кровопускания;Canivete de Sangramento;放血刀;Aderlasslanzette;;;;;Narzędzie do upuszczania krwi;Kanalma İğnesi;//
tinker;Ломик;Pé de Cabra;撬棍;Brechstange;;;;;Łom;Levye;//
